episode,training_return,training_steps,epsilon,eval_mean_return,eval_mean_steps,eval_success_rate
687,50.0,10,0.05,,,
688,49.0,11,0.05,,,
689,50.0,10,0.05,,,
690,50.0,10,0.05,,,
691,50.0,10,0.05,,,
692,50.0,10,0.05,,,
693,50.0,10,0.05,,,
694,33.0,13,0.05,,,
695,45.0,11,0.05,,,
696,45.0,11,0.05,,,
697,49.0,11,0.05,,,
698,38.0,12,0.05,,,
699,50.0,10,0.05,,,
700,50.0,10,0.05,50.0,10.0,1.0
701,50.0,10,0.05,,,
702,50.0,10,0.05,,,
703,48.0,12,0.05,,,
704,50.0,10,0.05,,,
705,48.0,12,0.05,,,
706,50.0,10,0.05,,,
707,50.0,10,0.05,,,
708,50.0,10,0.05,,,
709,44.0,12,0.05,,,
710,50.0,10,0.05,,,
711,50.0,10,0.05,,,
712,50.0,10,0.05,,,
